date,ticker,side,shares,price,cash_after
2022-08-02,MARUTI,BUY,4.425232208027451,8847.8515625,87867.25078502433
2022-08-02,ADANIPORTS,BUY,2.1725411826585264,789.6956787109375,86148.1731084898
2022-08-02,NTPC,BUY,8.509651274205488,140.6846466064453,84948.60147166961
2022-08-02,TATACONSUM,BUY,1.0040152376766354,791.5105590820312,84152.32343224509
2022-08-02,CIPLA,TRIM,0.35898972459060396,972.5811767578125,84500.77178773381
2022-08-02,NESTLEIND,TRIM,1.4666927346966991,934.9470825195312,85869.30932080458
2022-08-02,KOTAKBANK,BUY,104.26046491673044,375.5382995605469,46637.20401917113
2022-08-02,SUNPHARMA,BUY,0.8232589595379858,882.2463989257812,45909.43413223048
2022-08-02,LT,BUY,22.466076935090406,1742.79638671875,6677.328830597027
2022-08-02,RELIANCE,BUY,2.560141046801354,1176.0467529296875,3660.461574334018
2022-08-02,JSWSTEEL,BUY,5.714869935596355,639.23681640625,0.0
2022-11-02,BAJAJ-AUTO,SELL,10.45842562740358,3507.744384765625,36612.112800477786
2022-11-02,HEROMOTOCO,SELL,16.041034389886107,2333.21875,73964.50052393912
2022-11-02,BRITANNIA,SELL,10.78948571507736,3567.384033203125,112377.75911224642
2022-11-02,HINDUNILVR,SELL,15.803059867226949,2383.54052734375,149969.65829452226
2022-11-02,RELIANCE,SELL,33.354187248751664,1162.08056640625,188652.3905989516
2022-11-02,JSWSTEEL,SELL,61.206023403930544,674.2189331054688,229836.11787837994
2022-11-02,ADANIPORTS,SELL,49.6756852879086,820.3071899414062,270503.94104170403
2022-11-02,KOTAKBANK,SELL,104.26046491673044,380.81878662109375,310128.87609636015
2022-11-02,ASIANPAINT,SELL,11.926483188373219,3037.921142578125,346288.1281000526
2022-11-02,TATACONSUM,SELL,49.564109378158584,749.0385131835938,383339.3040423457
2022-11-02,AXISBANK,BUY,47.65879911055763,861.2683715820312,342210.1937082376
2022-11-02,SBIN,TRIM,0.5856819804326279,542.729248046875,342527.4247155907
2022-11-02,BAJAJFINSV,BUY,24.03799026390471,1707.58935546875,301398.3143814826
2022-11-02,COALINDIA,TRIM,23.31078084788418,184.07452392578125,305680.6534266213
2022-11-02,ICICIBANK,TRIM,2.7726171700610402,882.8429565429688,308123.5433953202
2022-11-02,INDUSINDBK,TRIM,0.9414986231588571,1113.4871826171875,309169.7933513606
2022-11-02,LT,TRIM,1.4483121027917298,1956.8736572265625,311998.2888251534
2022-11-02,M&M,TRIM,0.8824453774416201,1318.008056640625,313159.03280193266
2022-11-02,MARUTI,BUY,0.16432392156228345,8960.8154296875,311683.61151746695
2022-11-02,NTPC,TRIM,25.925009433875413,162.6147918701172,315890.9699507608
2022-11-02,SUNPHARMA,TRIM,3.9505839708562025,1015.1277465820312,319893.29665997106
2022-11-02,ADANIENT,BUY,11.479130430662886,3575.794921875,278764.18632586295
2022-11-02,CIPLA,TRIM,3.882732592445647,1128.20361328125,283135.9382401846
2022-11-02,EICHERMOT,TRIM,1.6829773364992557,3601.37060546875,289184.84129930445
2022-11-02,ITC,TRIM,12.498627976731038,300.9075622558594,292938.2511119734
2022-11-02,TITAN,BUY,15.18777505850184,2702.63525390625,251809.14077786528
2022-11-02,HDFCBANK,BUY,56.33805692408967,728.5841674804688,210680.03044375713
2022-11-02,NESTLEIND,TRIM,0.22300032181615223,985.3916625976562,210899.33361631562
2022-11-02,BHARTIARTL,BUY,51.629326605454395,795.032958984375,169770.2232822075
2022-11-02,DRREDDY,BUY,45.96149957759787,893.0739135742188,128641.11294809935
2022-11-02,APOLLOHOSP,BUY,9.45562509959985,4341.015625,87512.00261399121
2022-11-02,GRASIM,BUY,23.719310249516898,1730.5316162109375,46382.89227988307
2022-11-02,BAJFINANCE,BUY,4.200063417664668,704.684326171875,43417.253982808186
2022-11-02,SBILIFE,BUY,1.8626394226048597,1263.228271484375,41059.60932703596
2022-11-02,HCLTECH,BUY,44.371760591017924,923.5075073242188,0.0
2023-02-02,BAJFINANCE,SELL,58.35689736394014,563.0276489257812,32790.8336279795
2023-02-02,SBIN,SELL,75.78200453010386,499.4603271484375,70565.2381930004
2023-02-02,ADANIENT,SELL,11.479130430662886,1563.10595703125,88472.44915639285
2023-02-02,TITAN,SELL,15.18777505850184,2286.262451171875,123126.24250982414
2023-02-02,CIPLA,SELL,36.45539674747971,997.841064453125,159430.18102159916
2023-02-02,APOLLOHOSP,SELL,9.45562509959985,4190.87158203125,198978.23692081307
2023-02-02,MARUTI,SELL,4.5895561295897345,8612.0205078125,238424.53772757686
2023-02-02,BAJAJFINSV,SELL,24.03799026390471,1269.8099365234375,268887.16926095437
2023-02-02,NESTLEIND,SELL,41.73884547154069,916.141845703125,307049.39478291356
2023-02-02,SBILIFE,SELL,32.55500639502619,1099.3006591796875,342765.5592925855
2023-02-02,GRASIM,SELL,23.719310249516898,1571.9368896484375,379976.2475532609
2023-02-02,HDFCBANK,TRIM,7.221399069045174,771.4803466796875,385536.27267564565
2023-02-02,BRITANNIA,BUY,8.632448539722315,4380.78515625,347643.73644588835
2023-02-02,HCLTECH,TRIM,7.401389610846097,1024.943359375,355214.5695674086
2023-02-02,LT,TRIM,2.8420136686073607,2084.78515625,361127.70750176045
2023-02-02,TATASTEEL,BUY,339.8667760330182,111.26978302001953,323235.17127200315
2023-02-02,AXISBANK,TRIM,3.9108368440663557,866.1554565429688,326615.78915879625
2023-02-02,ITC,TRIM,18.722139605841587,321.228271484375,332617.84154178173
2023-02-02,HINDALCO,BUY,82.85941487747718,456.39837646484375,294725.30531202443
2023-02-02,ONGC,BUY,314.80706515070335,120.12723541259766,256832.7690822671
2023-02-02,M&M,TRIM,2.456718172657017,1318.0567626953125,260064.38689577114
2023-02-02,TCS,BUY,11.883043918525406,3182.425537109375,222171.8506660138
2023-02-02,ULTRACEMCO,BUY,5.365393937922232,7048.29931640625,184279.31443625648
2023-02-02,JSWSTEEL,BUY,52.7587828889483,716.7887573242188,146386.77820649915
2023-02-02,COALINDIA,TRIM,5.065260810836077,173.52285766601562,147263.95886015767
2023-02-02,NTPC,TRIM,0.28710951048434263,149.9884033203125,147306.9358310192
2023-02-02,EICHERMOT,BUY,0.7738391755379586,3107.017333984375,144897.79543544236
2023-02-02,SUNPHARMA,TRIM,1.5453397542431622,972.3302001953125,146397.37078703017
2023-02-02,BPCL,BUY,270.3258247795136,139.89378356933594,108504.83455727284
2023-02-02,HEROMOTOCO,BUY,16.104490707717783,2348.220947265625,70612.29832751551
2023-02-02,WIPRO,BUY,197.47632168896178,191.50094604492188,32719.762097758197
2023-02-02,DRREDDY,TRIM,1.7306571751304707,856.6994018554688,34199.44975857584
